:   ID : executionTime     : executionResult : description  
:    1 :             0.543 :         SUCCESS : DROP SCHEMA IF EXISTS test_batch CASCADE      
:    2 :             0.225 :         SUCCESS : CREATE SCHEMA IF NOT EXISTS test_batch      
:    3 :             0.207 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.d_cur(      
:    4 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_intval_num(      
:    5 :             0.218 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_intval_date(      
:    6 :             0.228 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype3(      
:    7 :             0.205 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_ref_parent(      
:    8 :             0.350 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.dr$idx_tbl_ind_dmn$i(      
:    9 :             0.214 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_acc_cust_cls(      
:   10 :             0.208 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_list(      
:   11 :             0.223 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.f_f1(      
:   12 :             0.205 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_ind_btm(      
:   13 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.test(      
:   14 :             0.473 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.test_character(      
:   15 :             0.251 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_not_part_pk(      
:   16 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_hash_range(      
:   17 :             0.205 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_not_part_ind(      
:   18 :             0.213 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_updt(      
:   19 :             0.272 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.destination(      
:   20 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_acc_cust(      
:   21 :             0.235 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_account_state(      
:   22 :             0.212 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.fact_table2(      
:   23 :             0.263 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_acc_cust_othr(      
:   24 :             0.248 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_ins(      
:   25 :             0.225 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.emp(      
:   26 :             0.227 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype_date(      
:   27 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_promotions_var1(      
:   28 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype_other1(      
:   29 :             0.218 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype5(      
:   30 :             0.224 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.d_cust(      
:   31 :             0.399 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_hash_pk(      
:   32 :             0.208 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_type_cast(      
:   33 :             1.413 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_hash_pk(      
:   34 :             0.229 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_acc_ins(      
:   35 :             0.228 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_dept(      
